id	total_votes
2008.11663	9
2008.08077	7
2008.08203	6
2008.09557	6
2008.09157	6
2008.11287	5
2008.10410	5
2008.10668	5
2008.09605	4
2008.09223	4
2008.10623	4
2008.09257	4
2008.09700	4
2008.06505	4
2006.13410	4
2008.09584	4
2008.10612	4
2008.09582	4
2008.07530	3
2008.11336	3
2008.10445	3
2008.09302	3
2008.10237	3
2008.10646	3
2008.10663	3
2008.11162	3
2008.10686	3
2007.00667	3
2008.10951	3
2008.08590	3
2008.09255	3
2008.09118	3
2008.08627	3
2008.09613	3
2008.06264	3
2008.02639	3
2008.09826	3
2008.11132	3
2008.08106	3
2008.09621	3
2008.10973	3
2008.09683	2
2008.08842	2
2008.11172	2
2008.09625	2
2008.10393	2
2007.14499	2
2008.02282	2
2008.09766	2
2005.12352	2
2007.05659	2
2006.01326	2
2008.10359	2
2007.15967	2
2007.15994	2
2008.09126	2
2008.09125	2
2008.09242	2
2006.14633	2
2008.10476	2
2008.11577	2
2008.11435	2
2008.09671	2
2008.09120	2
2006.13225	2
2008.10213	2
2008.04311	2
2008.05863	2
2008.09967	2
2005.03431	2
2008.10735	2
2007.15522	2
2008.07919	2
1911.06925	2
2004.07844	2
2008.07050	2
2001.06491	2
2008.09832	2
2008.12200	2
2008.09443	1
2008.12240	1
2008.07538	1
2008.11734	1
2005.12287	1
2008.04932	1
2008.08607	1
2008.09972	1
2008.10659	1
2008.08374	1
2008.11157	1
2006.13612	1
2008.10200	1
2008.09147	1
2007.02961	1
2008.07442	1
2008.08863	1
2008.07406	1
1911.03155	1
2008.05841	1
2007.01320	1
2008.04313	1
2008.09133	1
2008.10091	1
2008.11208	1
2006.15853	1
2008.09928	1
2008.09917	1
1907.03445	1
2008.09136	1
2006.15150	1
2007.06745	1
2008.08949	1
2006.06623	1
2006.06836	1
2008.03351	1
2005.09653	1
2008.07849	1
2007.12170	1
2008.08395	1
2008.02426	1
2006.16264	1
2008.11681	1
2008.10572	1
2006.08622	1
2008.09338	1
2008.08527	1
2006.08088	1
2008.07601	1
2008.08519	1
2008.10799	1
2008.05324	1
2008.06421	1
2008.04913	1
2008.08085	1
1911.11785	1
2006.01783	1
2008.11320	1
2007.08149	1
2006.16342	1
2008.08877	1
2008.01816	1
2008.10334	1
2008.10215	1
2008.04660	1
2006.12504	1
2008.09988	1
2008.11761	1
2008.10969	1
2008.02688	1
2008.10178	1
2008.09808	1
2008.11492	1
2008.02817	1
2008.09132	1
2008.09445	1
2008.11952	1
2006.06681	1
2008.09098	1
2004.10207	1
2004.08736	1
2008.09778	1
2005.06234	1
2008.10011	1
2009.01841	1
2008.11049	1
2009.03371	1
2009.00153	1
2005.09661	1
2009.01085	1
2009.03204	1
2008.11328	1
2009.02340	1
2009.04419	1
2008.10332	1
2008.13739	1
2009.00628	10
2009.00010	9
2009.01261	8
2008.12349	7
2008.13653	7
2009.00016	7
2009.00529	7
2009.00424	6
2008.11285	6
2008.13704	6
2008.13624	6
2008.11286	6
2009.00383	5
2008.13052	5
2008.12345	5
2008.12265	4
2008.13418	4
2008.12309	4
2009.00037	4
2009.00644	4
2009.00610	4
2009.00024	4
2008.12303	4
2009.01248	4
2008.12731	4
2009.01080	4
2008.12302	4
2008.13100	4
2008.12817	4
2008.13154	4
2009.00367	4
2009.00431	4
2009.00013	4
2008.13687	3
2008.11205	3
2008.13169	3
2008.12361	3
2008.11688	3
2009.00674	3
2008.12772	3
2008.13175	3
2009.01112	3
2008.13743	3
2008.12793	3
2008.12821	3
2008.09588	3
2009.00733	3
2009.03899	3
2007.14335	3
2009.00547	3
2008.11131	3
2008.12290	3
2008.12661	3
2008.12947	3
2008.13502	3
2008.08594	3
2009.00006	3
2008.11195	2
2009.00940	2
2008.10662	2
2009.00730	2
2008.12418	2
2006.06013	2
2009.00807	2
2007.09010	2
2008.11859	2
2009.00356	2
2009.01238	2
2009.00639	2
2008.13733	2
2008.08706	2
2009.01352	2
2009.00137	2
2008.12799	2
2009.01203	2
2008.11284	2
2008.08378	2
2008.11686	2
2006.06594	2
2008.12439	2
2009.00036	2
2009.00676	2
2009.00723	2
2009.00877	2
2008.09901	2
2008.11283	2
2008.13195	2
2007.16153	2
2008.13647	2
2008.09602	2
2009.00018	2
2008.11863	2
2008.12101	2
2008.12633	2
2009.00525	2
2002.07829	2
2008.13411	2
