id	total_votes
2009.05581	13
2009.06643	7
2009.07835	7
2009.04444	6
2009.07285	6
2009.06647	6
2009.05070	6
2009.01213	5
2009.05063	5
2009.01241	5
2009.03927	5
2009.07023	5
2009.04838	5
2009.06663	5
2009.06922	5
2009.05049	5
2009.08468	5
2009.07357	4
2009.07274	4
2009.05573	4
2009.07266	4
2009.06585	4
2009.08611	4
2009.07394	4
2009.08078	4
2009.03920	4
2009.07186	4
2009.04914	3
2009.06393	3
2009.06631	3
2009.08336	3
2009.02974	3
2009.08446	3
2009.05548	3
2009.06638	3
2009.06652	3
2009.05676	3
2008.11207	3
2009.03912	3
2009.08537	3
2009.04819	3
2009.07784	3
2009.05583	3
2009.01844	3
2009.08068	2
2009.08350	2
2009.07653	2
2009.07854	2
2009.05804	2
2009.07809	2
2009.06099	2
2009.08463	2
2009.05227	2
2009.07586	2
2009.08534	2
2009.08312	2
2009.07814	2
2009.04482	2
2009.01858	2
2009.03354	2
2009.02357	2
2008.07549	2
2006.10094	2
2007.05735	2
2008.07754	2
2009.08914	2
2009.03340	2
2009.05059	2
2009.04487	2
2009.00617	2
2009.08857	2
2009.04201	2
2009.06658	2
2009.06662	2
2009.04555	2
2009.07306	2
2009.03886	2
2009.07695	2
2007.02883	1
2007.13752	1
2009.02321	1
1909.11107	1
2009.05499	1
2009.05073	1
2009.01268	1
2009.03311	1
2008.10266	1
1210.8201	1
2005.09661	1
2007.06529	1
2009.08619	1
2007.00555	1
2009.06843	1
2009.03093	1
2009.05987	1
2009.04348	1
1910.07345	1
2009.01251	1
2009.07856	1
2008.12312	1
2009.06608	1
2009.07580	1
2009.01952	1
2008.07522	1
2009.05981	1
2006.14477	1
2009.04731	1
2007.05535	1
2008.10218	1
2007.00739	1
2005.12507	1
2009.08881	1
2006.01690	1
2005.05991	1
2005.04233	1
2009.08878	1
2003.10454	1
2009.07592	1
2009.08307	1
1607.02707	1
2009.02937	1
2009.06113	1
2009.04290	1
0910.4261	1
2008.02841	1
2009.07746	1
2005.14454	1
1408.4177	1
2009.02919	1
2005.10436	1
2009.05755	1
2009.07146	1
2008.08092	1
2008.10297	1
1908.04210	1
2009.07474	1
2009.03911	1
1006.2470	1
2009.04680	1
2009.00407	1
2009.08396	1
2007.09160	1
2009.03571	1
2009.03144	1
2009.07284	1
2009.04088	1
2002.02968	1
2009.03313	1
2007.03024	1
2007.12705	1
2009.08658	1
1401.1342	1
2004.11929	1
2008.09780	1
2008.11210	1
2009.02328	1
2009.03286	1
2009.08154	1
2007.06577	1
2009.06759	1
2009.05590	1
2008.10637	1
2009.00020	1
2009.03440	1
2009.03083	1
2009.06997	1
2008.06514	1
2009.04676	1
2009.03369	1
2005.13972	1
2005.11078	1
2009.07869	1
2009.05466	1
1205.5235	1
2008.06873	1
2009.04688	1
2009.01720	1
2006.14632	1
2009.05947	1
2009.02135	1
2008.05941	1
2009.03861	1
2007.13751	1
2009.06850	1
2009.06972	1
2008.08831	1
2006.06706	1
2009.06495	1
